Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
DA Warner,27-10-86,Left_Hand,Legbreak,Australia
DAJ Bracewell,28-09-90,Right_Hand,Right-arm fast-medium,New Zealand
DB Das,22-09-86,Right_Hand,Legbreak googly,India
DB Ravi Teja,05-09-87,Right_Hand,Legbreak googly,India
DE Bollinger,24-07-81,Left_Hand,Left-arm fast-medium,Australia
DH Yagnik,22-06-83,Left_Hand,NULL,India
DJ Bravo,07-10-83,Right_Hand,Right-arm medium-fast,West Indies
DJ Harris,31-12-79,Right_Hand,Right-arm medium,Australia
DJ Hooda,19-04-95,Right_Hand,Right-arm offbreak,India
DJ Hussey,15-07-77,Right_Hand,Right-arm offbreak,Australia
DJ Jacobs,04-11-82,Right_Hand,Right-arm medium,South Africa
DJ Muthuswami,09-03-81,Right_Hand,Right-arm medium,India
DJ Thornely,01-10-78,Right_Hand,Right-arm medium,Australia
DJG Sammy,20-12-83,Right_Hand,Right-arm medium-fast,West Indies
DL Chahar,07-08-92,Right_Hand,Right-arm medium,India
DL Vettori,27-01-79,Left_Hand,Slow left-arm orthodox,New Zealand
DM Bravo,,Left_Hand,,
DNT Zoysa,13-05-78,Left_Hand,Left-arm fast-medium,Sri Lanka
DP Nannes,16-05-76,Right_Hand,Left-arm fast,Australia
DP Vijaykumar,20-10-86,Right_Hand,Right-arm medium,India
DPMD Jayawardene,27-05-77,Right_Hand,Right-arm medium,Sri Lanka
DR Martyn,21-10-71,Right_Hand,Right-arm medium,Australia
DR Smith,12-04-83,Right_Hand,Right-arm medium,West Indies
DS Kulkarni,10-12-88,Right_Hand,Right-arm medium,India
DS Lehmann,05-02-70,Left_Hand,Slow left-arm orthodox,Australia
DT Christian,04-05-83,Right_Hand,Right-arm fast-medium,Australia
DT Patil,06-12-84,Right_Hand,NULL,India
DW Steyn,27-06-83,Right_Hand,Right-arm fast,South Africa
E Lewis,,Left_Hand,,
EJG Morgan,10-09-86,Left_Hand,Right-arm medium,England
ER Dwivedi,22-07-88,Right_Hand,NULL,India
F Behardien,09-10-83,Right_Hand,Right-arm fast-medium,South Africa
F du Plessis,13-07-84,Right_Hand,Legbreak,South Africa
FH Edwards,06-02-82,Right_Hand,Right-arm fast,West Indies
FY Fazal,07-09-85,Left_Hand,Right-arm medium,India
G Gambhir,14-10-81,Left_Hand,Legbreak,India
Gagandeep Singh,03-10-81,Right_Hand,Right-arm medium-fast,India
GB Hogg,06-02-71,Left_Hand,Slow left-arm chinaman,Australia
GC Smith,01-02-81,Left_Hand,Right-arm offbreak,South Africa
GD McGrath,09-02-70,Right_Hand,Right-arm fast-medium,Australia
GH Vihari,13-10-93,Right_Hand,Right-arm offbreak,India
GJ Bailey,07-09-82,Right_Hand,Right-arm medium,Australia
GJ Maxwell,14-10-88,Right_Hand,Right-arm offbreak,Australia
GR Napier,06-01-80,Right_Hand,Right-arm medium,England
GS Sandhu,14-06-93,Left_Hand,Right-arm fast-medium,Australia
Gurkeerat Singh,29-06-90,Right_Hand,Right-arm offbreak,India
H Brar,,Left_Hand,Slow left-arm orthodox,
H Das,10-12-86,Right_Hand,NULL,India
H Gurney,,Right_Hand,Right-arm fast-medium,
H Klaasen,,Right_Hand,,
H Vihari,,Right_Hand,Right-arm offbreak,
H Viljoen,,Right_Hand,Right-arm fast,
Harbhajan Singh,03-07-80,Right_Hand,Right-arm offbreak,India
Harmeet Singh,07-09-92,Left_Hand,Slow left-arm orthodox,India
Harmeet Singh (2),,Right_Hand,Right-arm fast-medium,
Harpreet Singh,11-08-91,Left_Hand,Right-arm medium,India
HH Gibbs,23-02-74,Right_Hand,Right-arm bowler,South Africa
HH Pandya,11-10-93,Right_Hand,Right-arm medium-fast,India
HM Amla,31-03-83,Right_Hand,Right-arm offbreak,South Africa
HV Patel,23-11-90,Right_Hand,Right-arm medium,India
I Malhotra,23-05-84,Right_Hand,Right-arm medium-fast,India
I Sharma,02-09-88,Right_Hand,Right-arm fast-medium,India
I Sodhi,,Right_Hand,Legbreak googly,
IC Pandey,15-08-89,Right_Hand,Right-arm medium,India
IK Pathan,27-10-84,Left_Hand,Left-arm medium-fast,India
Imran Tahir,27-03-79,Right_Hand,Legbreak googly,India
Iqbal Abdulla,02-12-89,Left_Hand,Slow left-arm orthodox,India
IR Jaggi,27-01-89,Right_Hand,Legbreak googly,India
Ishan Kishan,18-07-98,Left_Hand,NULL,India
J Archer,,Right_Hand,Right-arm fast,
J Arunkumar,18-01-75,Right_Hand,Right-arm offbreak,India
J Bairstow,,Right_Hand,,
J Behrendorff,,Right_Hand,Left-arm fast-medium,
J Botha,02-05-82,Right_Hand,Right-arm offbreak,South Africa
J Dala,,,Right-arm Medium,
J Denly,,Right_Hand,,
J Searles,,Right_Hand,Right-arm fast-medium,
J Suchith,16-01-94,Left_Hand,Slow left-arm orthodox,India
J Syed Mohammad,03-06-83,Left_Hand,Slow left-arm orthodox,India
J Theron,24-07-85,Right_Hand,Right-arm medium-fast,South Africa
J Yadav,22-01-90,Right_Hand,Right-arm offbreak,India
JA Morkel,10-06-81,Left_Hand,Right-arm medium-fast,South Africa
Jaskaran Singh,04-09-89,Right_Hand,Right-arm medium,India
JC Buttler,08-09-90,Right_Hand,NULL,England
JD Ryder,06-08-84,Left_Hand,Right-arm medium,New Zealand
JD Unadkat,18-10-91,Right_Hand,Left-arm medium,India
JDP Oram,28-07-78,Left_Hand,Right-arm fast-medium,New Zealand
JDS Neesham,17-09-90,Left_Hand,Right-arm medium,New Zealand
JE Taylor,22-06-84,Right_Hand,Right-arm fast,New Zealand
JEC Franklin,07-11-80,Left_Hand,Left-arm medium,New Zealand
JH Kallis,16-10-75,Right_Hand,Right-arm fast-medium,South Africa
JJ Bumrah,06-12-93,Right_Hand,Right-arm medium,India
JJ Roy,,Right_Hand,,
JJ van der Wath,10-01-78,Right_Hand,Right-arm medium-fast,South Africa
JM Kemp,02-10-77,Right_Hand,Right-arm fast-medium,South Africa
JO Holder,05-11-91,Right_Hand,Right-arm medium-fast,West Indies
Joginder Sharma,23-10-83,Right_Hand,Right-arm fast-medium,India
JP Duminy,14-04-84,Left_Hand,Right-arm offbreak,South Africa
JP Faulkner,29-04-90,Right_Hand,Left-arm fast-medium,Australia
JR Hopes,24-10-78,Right_Hand,Right-arm medium,Australia
JW Hastings,04-11-85,Right_Hand,Right-arm fast-medium,Australia
K Ahmed,,Right_Hand,Left-arm fast-medium,
K Goel,24-12-86,Left_Hand,Right-arm offbreak,India
K Gowtham,,Right_Hand,Right-arm offbreak,
K Khejroliya,,Right_Hand,Left-arm fast-medium,
K Paul,,Right_Hand,Right-arm fast-medium,
K Rabada,,Left_Hand,Right-arm fast,
K Santokie,20-12-84,Left_Hand,Left-arm medium,West Indies
K Upadhyay,18-06-86,Right_Hand,Right-arm medium,India
KA Pollard,12-05-87,Right_Hand,Right-arm medium-fast,West Indies
KAJ Roach,30-06-88,Right_Hand,Right-arm fast,West Indies
Kamran Akmal,13-01-82,Right_Hand,NULL,Pakistan
Kamran Khan,10-03-91,Left_Hand,Left-arm medium-fast,India
Karanveer Singh,08-11-87,Right_Hand,Legbreak googly,India
KB Arun Karthik,15-02-86,Right_Hand,Legbreak googly,India
KC Cariappa,13-04-94,Right_Hand,Legbreak,India
KC Sangakkara,27-10-77,Left_Hand,Right-arm offbreak,Sri Lanka
KD Karthik,01-06-85,Right_Hand,NULL,India
KH Devdhar,14-12-89,Right_Hand,NULL,India
KH Pandya,24-03-91,Left_Hand,Slow left-arm orthodox,India
KJ Abbott,18-06-87,Right_Hand,Right-arm fast-medium,South Africa
KK Cooper,16-02-89,Right_Hand,Right-arm medium,West Indies
KK Nair,06-12-91,Right_Hand,Right-arm offbreak,India
KL Rahul,18-04-92,Right_Hand,NULL,India
KM Asif,,Right_Hand,Right-arm medium,
KM Jadhav,26-03-85,Right_Hand,Right-arm offbreak,India
KMDN Kulasekara,22-07-82,Right_Hand,Right-arm fast-medium,Sri Lanka
KP Appanna,20-12-88,Right_Hand,Slow left-arm orthodox,India
KP Pietersen,27-06-80,Right_Hand,Right-arm offbreak,South Africa
KS Williamson,08-08-90,Right_Hand,Right-arm offbreak,New Zealand
Kuldeep Yadav,14-12-94,Left_Hand,Slow left-arm chinaman,India
KV Sharma,23-10-87,Left_Hand,Legbreak googly,India
KW Richardson,12-02-91,Right_Hand,Right-arm fast-medium,Australia
L Ablish,03-12-82,Right_Hand,Right-arm medium-fast,India
L Balaji,27-09-81,Right_Hand,Right-arm medium-fast,India
L Ferguson,,Right_Hand,Right-arm fast,
L Livingstone,,Right_Hand,Right-arm offbreak,
L Ngidi,,Right_Hand,Slow left-arm orthodox,
L Plunkett,,Right_Hand,Right-arm fast,
L Ronchi,23-04-81,Right_Hand,Right-arm fast,Australia
LA Carseldine,17-11-75,Left_Hand,Legbreak,Australia
LA Pomersbach,28-09-84,Left_Hand,Right-arm medium,Australia
LH Ferguson,,Right_Hand,Right-arm fast-medium,
LJ Wright,07-03-85,Right_Hand,Right-arm medium-fast,England
LMP Simmons,25-01-85,Right_Hand,Right-arm medium-fast,West Indies
LPC Silva,14-12-79,Right_Hand,Legbreak,Sri Lanka
LR Shukla,06-05-81,Right_Hand,Right-arm medium,India
LRPL Taylor,08-03-84,Right_Hand,Right-arm offbreak,New Zealand
M Ali,,Left_Hand,Right-arm offbreak,
M Ashwin,08-09-90,Right_Hand,Legbreak googly,India
M de Lange,13-10-90,Right_Hand,Right-arm fast,South Africa
M Kaif,01-12-80,Right_Hand,Right-arm offbreak,India
M Kartik,11-09-76,Left_Hand,Slow left-arm orthodox,India
M Klinger,04-07-80,Right_Hand,NULL,Australia
M Lomror,,Left_Hand,Slow left-arm orthodox,
M Manhas,12-10-79,Right_Hand,Right-arm offbreak,India
M Markande,,Right_Hand,Legbreak googly,
M Morkel,06-10-84,Left_Hand,Right-arm fast,South Africa
M Muralitharan,17-04-72,Right_Hand,Right-arm offbreak,Sri Lanka
M Ntini,06-07-77,Right_Hand,Right-arm fast,South Africa
M Rawat,25-10-85,Right_Hand,NULL,India
M Santner,,Left_Hand,Slow left-arm orthodox,
M Ur Rahman,,Right_Hand,Right-arm offbreak,
M Vijay,01-04-84,Right_Hand,Right-arm offbreak,India
M Vohra,18-07-93,Right_Hand,Right-arm medium,India
M Wood,,Right_Hand,Right-arm fast,
MA Agarwal,16-02-91,Right_Hand,NULL,India
MA Khote,22-04-80,Right_Hand,Right-arm medium,India
MA Starc,30-01-90,Left_Hand,Left-arm fast,Australia
Mandeep Singh,18-12-91,Right_Hand,Right-arm medium,India
Mashrafe Mortaza,05-10-83,Right_Hand,Right-arm fast-medium,Bangladesh
MB Parmar,12-04-88,Right_Hand,Right-arm offbreak,India
MC Henriques,01-02-87,Right_Hand,Right-arm fast-medium,Australia
MC Juneja,12-09-90,Right_Hand,Right-arm offbreak,India
MD Mishra,09-02-84,Right_Hand,Right-arm offbreak,India
MDKJ Perera,17-08-90,Left_Hand,NULL,Sri Lanka
MEK Hussey,27-05-75,Left_Hand,Right-arm medium,Australia
MF Maharoof,07-09-84,Right_Hand,Right-arm fast-medium,India
MG Johnson,02-11-81,Left_Hand,Left-arm fast,Australia
MG Neser,29-03-90,Right_Hand,Right-arm medium,Australia
Misbah-ul-Haq,28-05-74,Right_Hand,Legbreak,Pakistan
MJ Clarke,02-04-81,Right_Hand,Slow left-arm orthodox,Australia
MJ Guptill,30-09-86,Right_Hand,Right-arm offbreak,New Zealand
MJ Henry,,Right_Hand,Right-arm fast,
MJ Lumb,12-02-80,Left_Hand,Right-arm medium,England
MJ McClenaghan,11-06-86,Left_Hand,Left-arm fast-medium,New Zealand
MK Pandey,10-09-89,Right_Hand,Right-arm medium,India
MK Tiwary,14-11-85,Right_Hand,Legbreak googly,India
ML Hayden,29-10-71,Left_Hand,Right-arm medium,Australia
MM Patel,12-07-83,Right_Hand,Right-arm medium-fast,India
MM Sharma,18-09-88,Right_Hand,Right-arm medium,India
MN Samuels,05-02-81,Right_Hand,Right-arm offbreak,West Indies
MN van Wyk,20-03-79,Right_Hand,Slow left-arm orthodox,South Africa
Mohammad Ashraful,07-07-84,Right_Hand,Right-arm offbreak,Bangladesh
Mohammad Asif,20-12-82,Left_Hand,Right-arm fast-medium,Pakistan
Mohammad Hafeez,17-10-80,Right_Hand,Right-arm offbreak,Pakistan
Mohammad Nabi,,Right_Hand,Right-arm offbreak,
Mohammed Shami,03-09-90,Right_Hand,Right-arm fast-medium,India
Mohammed Siraj,,Right_Hand,Right-arm fast,
MP Stoinis,16-08-89,Right_Hand,Right-arm medium,Australia
MR Marsh,20-10-91,Right_Hand,Right-arm medium,Australia
MS Bisla,27-12-84,Right_Hand,NULL,India
MS Dhoni,07-07-81,Right_Hand,Right-arm medium,India
MS Gony,04-01-84,Right_Hand,Right-arm medium,India
MS Wade,26-12-87,Left_Hand,Right-arm medium,Australia
Mustafizur Rahman,06-09-95,Left_Hand,Left-arm fast-medium,Bangladesh
MV Boucher,03-12-76,Right_Hand,Right-arm medium,South Africa
N Naik,,Right_Hand,,
N Pooran,,Left_Hand,,
N Rana,27-12-93,Left_Hand,Right-arm offbreak,India
N Saini,28-10-88,Right_Hand,Right-arm fast,India
NB Singh,,Right_Hand,Right-arm fast,
ND Doshi,06-10-78,Right_Hand,Slow left-arm orthodox,India
Niraj Patel,,Left_Hand,,
NJ Maddinson,21-12-91,Left_Hand,Slow left-arm orthodox,Australia
NJ Rimmington,11-11-82,Right_Hand,Right-arm fast-medium,Australia
NK Patel,26-03-81,Left_Hand,NULL,India
NL McCullum,01-09-80,Right_Hand,Right-arm offbreak,New Zealand
NLTC Perera,03-04-89,Left_Hand,Right-arm medium-fast,Sri Lanka
NM Coulter-Nile,11-10-87,Right_Hand,Right-arm fast,Australia
NS Naik,09-11-94,Right_Hand,NULL,India
NV Ojha,20-07-83,Right_Hand,NULL,India
O Thomas,,Right_Hand,Right-arm fast,
OA Shah,22-10-78,Right_Hand,Right-arm offbreak,England
P Amarnath,01-06-82,Right_Hand,Right-arm medium,India
P Awana,19-07-86,Right_Hand,Right-arm medium,India
P Chopra,,Right_Hand,,
P Dharmani,27-09-74,Right_Hand,NULL,India
P Dogra,19-11-84,Right_Hand,Legbreak,India
P Krishna,,Right_Hand,Right-arm fast,
P Kumar,02-10-86,Right_Hand,Right-arm medium,India
P Negi,06-01-93,Left_Hand,Slow left-arm orthodox,India
P Parameswaran,30-05-85,Right_Hand,Left-arm medium,India
P Prasanth,22-05-85,Left_Hand,Slow left-arm orthodox,India
P R Barman,,Right_Hand,Legbreak,
P Raj,,Right_Hand,Left-arm medium,
P Sahu,21-08-85,Right_Hand,Legbreak googly,India
P Shaw,,Right_Hand,,
P Suyal,15-10-89,Right_Hand,Left-arm medium,India
PA Patel,09-03-85,Left_Hand,NULL,India
PA Reddy,11-02-91,Right_Hand,Legbreak,India
Pankaj Singh,06-05-85,Right_Hand,Right-arm medium-fast,India
Parvez Rasool,13-02-89,Right_Hand,Right-arm offbreak,India
PC Valthaty,07-12-83,Right_Hand,Right-arm medium,India
PD Collingwood,26-05-76,Right_Hand,Right-arm medium,England
PJ Cummins,08-05-93,Right_Hand,Right-arm fast,Australia
PJ Sangwan,05-11-90,Right_Hand,Left-arm medium,India
PM Sarvesh Kumar,26-04-89,Right_Hand,Right-arm medium,India
PP Chawla,24-12-88,Left_Hand,Legbreak,India
PP Ojha,05-09-86,Left_Hand,Slow left-arm orthodox,India
PR Shah,03-11-87,Right_Hand,NULL,India
PSP Handscomb,26-04-91,Right_Hand,NULL,Australia
PV Tambe,08-10-71,Right_Hand,Legbreak,India
Q de Kock,17-12-92,Left_Hand,NULL,South Africa
R Ashwin,17-09-86,Right_Hand,Right-arm offbreak,India
R Bhatia,22-10-79,Right_Hand,Right-arm medium-fast,India
R Bhui,,Right_Hand,,
R Bishnoi,08-10-87,Right_Hand,Right-arm medium-fast,India
R Dhawan,19-02-90,Right_Hand,Right-arm medium-fast,India
R Dravid,11-01-73,Right_Hand,Right-arm offbreak,India
R McLaren,09-02-83,Left_Hand,Right-arm medium-fast,South Africa
R Ninan,19-11-85,Right_Hand,Right-arm offbreak,India
R Parag,,Right_Hand,Legbreak,
R Rampaul,15-10-84,Left_Hand,Right-arm fast-medium,West Indies
R Salam,,Right_Hand,Right-arm Fast,
R Sathish,14-01-81,Right_Hand,Right-arm medium,India
R Sharma,30-04-87,Right_Hand,Right-arm offbreak,India
R Shukla,28-08-90,Right_Hand,Right-arm medium,India
R Singh,,Right_Hand,,
R Tewatia,20-05-93,Left_Hand,Legbreak,India
R Vinay Kumar,12-02-84,Right_Hand,Right-arm medium,India
RA Jadeja,06-12-88,Left_Hand,Slow left-arm orthodox,India
RA Shaikh,12-06-85,Left_Hand,Left-arm medium,India
RA Tripathi,,Right_Hand,Right-arm medium,
Rashid Khan,,Right_Hand,Legbreak googly,
RD Chahar,,Right_Hand,Legbreak googly,
RE Levi,14-01-88,Right_Hand,Right-arm medium,South Africa
RE van der Merwe,31-12-84,Right_Hand,Slow left-arm orthodox,South Africa
RG More,02-02-92,Right_Hand,Right-arm medium,India
RG Sharma,30-04-87,Right_Hand,Right-arm offbreak,India
RJ Harris,11-10-79,Right_Hand,Right-arm fast,Australia
RJ Peterson,04-08-79,Left_Hand,Slow left-arm orthodox,South Africa
RJ Quiney,20-08-82,Left_Hand,Right-arm medium,Australia
RN ten Doeschate,30-06-80,Right_Hand,Right-arm medium-fast,Netherlands
RP Singh,06-12-85,Right_Hand,Left-arm fast-medium,India
RR Bhatkal,01-09-85,Right_Hand,Right-arm medium,India
RR Bose,27-02-79,Right_Hand,Right-arm fast-medium,India
RR Pant,04-10-97,Left_Hand,NULL,India
RR Powar,20-05-78,Right_Hand,Right-arm offbreak,India
RR Raje,03-09-86,Right_Hand,Right-arm fast-medium,India
RR Rossouw,09-10-89,Left_Hand,Right-arm offbreak,South Africa
RR Sarwan,23-06-80,Right_Hand,Legbreak,West Indies
RS Bopara,04-05-85,Right_Hand,Right-arm medium,England
RS Gavaskar,20-02-76,Left_Hand,Slow left-arm orthodox,India
RS Sodhi,18-10-80,Right_Hand,Right-arm medium,India
RT Ponting,19-12-74,Right_Hand,Right-arm medium,Australia
RV Gomez,16-10-85,Right_Hand,Right-arm medium,India
RV Pawar,06-09-79,Left_Hand,Slow left-arm orthodox,India
RV Uthappa,11-11-85,Right_Hand,Right-arm medium,India
RW Price,12-06-76,Right_Hand,Slow left-arm orthodox,Zimbabwea
S Anirudha,14-04-87,Right_Hand,NULL,India
S Aravind,08-04-84,Left_Hand,Left-arm medium-fast,India
S Badree,09-03-81,Right_Hand,Legbreak,West Indies
S Badrinath,30-08-80,Right_Hand,Right-arm offbreak,India
S Chanderpaul,16-08-74,Left_Hand,Legbreak,West Indies
S Curran,,Left_Hand,Left-arm medium-fast,
S Dhawan,05-12-85,Left_Hand,Right-arm offbreak,India
S Dube,,Left_Hand,Right-arm fast-medium,
S Gill,,Right_Hand,,
S Gopal,04-09-93,Right_Hand,Legbreak,India
S Hetmyer,,Left_Hand,,
S Kaul,19-05-90,Right_Hand,Right-arm medium,India
S Kaushik,07-09-95,Right_Hand,Slow left-arm chinaman,India
S Kuggeleijn,,Right_Hand,Right-arm fast,
S Ladda,10-07-86,Right_Hand,Legbreak,India
S Lamichhane,,Right_Hand,Legbreak googly,
S Mavi,,Right_Hand,Right-arm fast-medium,
S Midhun,,,Legbreak,
S Nadeem,12-08-89,Right_Hand,Slow left-arm orthodox,India
S Narwal,16-04-82,Left_Hand,Right-arm medium,India
S Rana,18-09-84,Right_Hand,Right-arm medium-fast,India
S Randiv,30-01-85,Right_Hand,Right-arm offbreak,Sri Lanka
S Rutherford,,Left_Hand,Right-arm fast-medium,
S Sharma,,Right_Hand,Right-arm fast-medium,
S Singh,,Right_Hand,,
S Sohal,10-11-87,Right_Hand,Legbreak,India
S Sreesanth,06-02-83,Right_Hand,Right-arm fast-medium,India
S Sriram,21-02-76,Left_Hand,Slow left-arm orthodox,India
S Tyagi,17-09-87,Right_Hand,Right-arm medium,India
